timestamp, x, y, z, bat
2020-05-04 04:47:44:068, -13, 235, 57, 3.71
2020-05-04 04:47:44:108, -13, 235, 60, 3.70
2020-05-04 04:47:44:148, -12, 235, 57, 3.71
2020-05-04 04:47:44:187, -12, 234, 59, 3.70
2020-05-04 04:47:44:227, -12, 233, 61, 3.72
2020-05-04 04:47:44:267, -11, 232, 60, 3.71
2020-05-04 04:47:44:306, -12, 232, 56, 3.70
2020-05-04 04:47:44:346, -13, 234, 58, 3.70
2020-05-04 04:47:44:386, -13, 234, 58, 3.71
2020-05-04 04:47:44:426, -14, 233, 60, 3.70
2020-05-04 04:47:44:465, -12, 232, 59, 3.70
2020-05-04 04:47:44:505, -13, 232, 58, 3.71
2020-05-04 04:47:44:545, -15, 234, 55, 3.69
2020-05-04 04:47:44:585, -14, 235, 55, 3.71
2020-05-04 04:47:44:624, -17, 234, 56, 3.69
2020-05-04 04:47:44:664, -18, 235, 57, 3.69
2020-05-04 04:47:44:704, -20, 234, 60, 3.72
2020-05-04 04:47:44:743, -18, 233, 59, 3.70
2020-05-04 04:47:44:783, -12, 232, 65, 3.70
2020-05-04 04:47:44:823, -11, 232, 65, 3.71
2020-05-04 04:47:44:863, -12, 229, 64, 3.70
2020-05-04 04:47:44:902, -19, 229, 64, 3.70
2020-05-04 04:47:44:942, -21, 229, 61, 3.70
2020-05-04 04:47:44:982, -23, 230, 59, 3.69
2020-05-04 04:47:45:022, -25, 229, 58, 3.71
2020-05-04 04:47:45:061, -25, 232, 58, 3.71
2020-05-04 04:47:45:101, -24, 232, 61, 3.71
2020-05-04 04:47:45:141, -20, 235, 61, 3.70
2020-05-04 04:47:45:180, -15, 234, 60, 3.69
2020-05-04 04:47:45:220, -17, 232, 58, 3.69
2020-05-04 04:47:45:260, -19, 231, 61, 3.72
2020-05-04 04:47:45:300, -17, 233, 62, 3.70
2020-05-04 04:47:45:339, -15, 234, 62, 3.70
2020-05-04 04:47:45:379, -15, 233, 56, 3.70
2020-05-04 04:47:45:419, -18, 234, 54, 3.69
2020-05-04 04:47:45:459, -16, 232, 57, 3.70
2020-05-04 04:47:45:498, -18, 233, 58, 3.69
2020-05-04 04:47:45:538, -16, 234, 59, 3.70
2020-05-04 04:47:45:578, -14, 233, 63, 3.70
2020-05-04 04:47:45:617, -15, 233, 61, 3.70
2020-05-04 04:47:45:657, -15, 232, 61, 3.70
2020-05-04 04:47:45:697, -14, 230, 61, 3.69
2020-05-04 04:47:45:737, -13, 233, 59, 3.71
2020-05-04 04:47:45:776, -16, 231, 60, 3.70
2020-05-04 04:47:45:816, -17, 234, 61, 3.69
2020-05-04 04:47:45:856, -18, 231, 60, 3.72
2020-05-04 04:47:45:896, -16, 233, 62, 3.69
2020-05-04 04:47:45:935, -17, 234, 62, 3.71
2020-05-04 04:47:45:975, -16, 235, 60, 3.70
2020-05-04 04:47:46:015, -15, 234, 58, 3.69
2020-05-04 04:47:46:054, -14, 231, 60, 3.70
2020-05-04 04:47:46:094, -15, 228, 63, 3.70
2020-05-04 04:47:46:134, -12, 231, 62, 3.70
2020-05-04 04:47:46:174, -18, 227, 61, 3.69
2020-05-04 04:47:46:213, -23, 227, 67, 3.70
